IdEvaluacion;FechaEvaluacion;IdJugador;IdPosicion;PesoBrutoKg;TallaCorporalCm;TallaSentadoCM;DiametroBiacromial;DiametroToraxTransverso;DiametroToraxAnteroPosterior;DiametroBi-iliocrestideo;DiametroHumeralBiepicondilar;DiametroFemoralBiepicondilar;PerimetroCabeza;PerimetroBrazoRelajado;PerimetroBrazoFlexionadoEnTension;PerimetroAntebrazoMaximo;PerimetroToraxMesoesternal;PerimetroCinturaMinima;PerimetroCaderaMaximo;PerimetroMusloMaximo;PerimetroMusloMedial;PerimetroPantorrillaMaxima;PlieguesTriceps;PlieguesSubescapular;PlieguesSupraespinal;PlieguesAbdominal;PlieguesMusloMedial;PlieguesPantorrilla;Bicipital;Supracrestideo;Sumatoria 6 pliegues;Sumatoria 8 pliegues;MasaPielKg;MasaPielPer;MasaAdiposaKg;MasaAdiposaPer;MasaMuscularKg;MasaMuscularPer;MasaResidualKg;MasaResidualPer;MasaOseaKg;MasaOseaPer;IMO;IAM;ObjetivoGeneral;ObjetivoEspecifico;Comentarios;;
16;28/04/2023;321;17;69.8;171;83.8;39.1;25.6;22.6;27.3;7.3;10.1;55.6;29.8;32.9;26.7;96;77.8;96.7;56.9;55;35.6;8.4;9.6;9;14;12;4.2;;;57.2;;3.74;0.053;15.82;0.223;35.19;0.495;7.93;0.112;8.42;0.118;4.18;0.45;;;;;
17;20/06/2023;321;17;69.7;171;83.8;39.1;25.6;22.6;27.3;7.3;10.1;55.6;29.6;32.8;26.4;94.8;78.6;96.8;56.1;54.6;35.3;8;9.4;9.2;12;10.8;4.6;;;54;;3.74;0.054;15.28;0.219;34.26;0.491;8.15;0.117;8.42;0.121;4.07;0.45;;;;;
18;10/07/2023;321;17;69.8;171;83.8;39.1;25.6;22.6;27.3;7.3;10.1;55.6;29.8;32.8;26.8;95.4;78.6;96.3;56.7;55.1;35.6;8;9.4;9;11.6;9.6;4.2;;;51.8;;3.74;0.053;14.91;0.211;35.29;0.500;8.17;0.116;8.42;0.119;4.19;0.42;;;;;
19;16/08/2023;321;17;69.3;171;83.8;39.1;25.6;22.6;27.3;7.3;10.1;55.6;30.6;32.6;26.7;94.7;78.8;96.1;56.2;54.6;35.4;7.2;9;10;11;9.8;4;;;51;;3.74;0.053;14.77;0.210;35.16;0.500;8.23;0.117;8.42;0.120;4.18;0.42;;;;;
20;20/10/2023;321;17;69.1;171;83.8;39.1;25.6;22.6;27.3;7.3;10.1;55.6;29.9;33.2;26.7;93.8;75.2;95.6;56.3;54.3;35.4;7.2;8;9.2;9.2;9;4;;;46.6;;3.74;0.054;14.02;0.204;34.79;0.506;7.77;0.113;8.42;0.122;4.13;0.40;Aumentar Masa Muscular;500;Se debe disminuir el porcentaje de tejido adiposo.;;
21;29/03/2023;299;1;87.8;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;33.6;37.7;30.4;103.3;85.1;101.2;61.4;57.7;36.1;9.4;11;9.6;19.6;9.8;5;;;64.4;;4.42;0.048;21.15;0.231;44.89;0.490;10.42;0.114;10.75;0.117;4.18;0.47;;;;;
22;19/05/2023;299;1;88.8;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;34;38.3;30.6;104.4;86;102.1;61.3;59.8;36;10;11;11;18;7.2;5;;;62.2;;4.42;0.048;20.70;0.224;45.91;0.496;10.71;0.116;10.75;0.116;4.27;0.45;;;;;
23;23/06/2023;299;1;88.5;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;33.8;38.2;30.6;104.6;84.6;102.2;60.2;58.8;35.9;9.8;9.8;9.4;15.4;7;5;;;56.4;;4.42;0.049;19.52;0.215;45.57;0.502;10.59;0.117;10.75;0.118;4.24;0.43;;;;;
24;26/07/2023;299;1;89.3;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;34.3;37.9;30.4;104;85.4;102.6;60.9;59.4;35.9;10;10;9.8;15.4;7.4;5.4;;;58;;4.42;0.048;19.85;0.217;45.58;0.499;10.75;0.118;10.75;0.118;4.24;0.44;;;;;
25;31/08/2023;299;1;90.5;187.3;97.3;44.3;31.8;20.7;30.7;7.3;10.5;56.6;34.2;37.9;30.8;104.6;87.5;103.1;60.9;59.9;36.4;10.4;10.6;9.2;18.2;8;5.4;;;61.8;;4.42;0.048;20.62;0.222;46.01;0.496;11.00;0.119;10.75;0.116;4.28;0.45;;;;;
