IdInscripcion;IdJugador;Tipo;Fecha;IdCT;IdEquipo;IdPosicion;;;;;;;;;;;;;
34;3;Habilitado;6/08/2023;3;1; ;;;;;;;;;;;;;
35;273;Habilitado;6/08/2023;3;1;3;;;;;;;;;;;;;
36;1;Habilitado;6/08/2023;3;1;4;;;;;;;;;;;;;
37;58;Habilitado;6/08/2023;3;; ;;;;;;;;;;;;;
38;52;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
39;40;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
40;55;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
41;44;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
42;38;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
43;46;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
44;41;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
45;48;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
46;33;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
47;36;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
48;49;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
49;47;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
50;50;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
51;43;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
52;56;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
53;54;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
54;37;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
55;32;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
56;51;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
57;34;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
58;53;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
59;31;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
60;35;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
61;37;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
62;59;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
63;79;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
64;75;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
65;82;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
66;74;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
67;57;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
68;68;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
69;58;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
70;77;Habilitado;25/02/2023;4;1; ;;;;;;;;;;;;;
71;52;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
72;40;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
73;55;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
74;44;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
75;38;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
76;46;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
77;41;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
78;48;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
79;33;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
80;36;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
81;49;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
82;47;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
83;50;Deshabilitado;17/06/2023;4;1; ;;;;;;;;;;;;;
