IdEstadisticaPartido;IdJugador;IdPartido;IdCT;Condicion;Minutos;Goles;Amarillas;Rojas;;;;;;;;;;;;;;;;
93;21;22;1;No citado;;;;;;;;;;;;;;;;;;;;
94;5;22;1;No citado;;;;;;;;;;;;;;;;;;;;
95;276;22;1;No citado;;;;;;;;;;;;;;;;;;;;
96;323;22;1;No citado;;;;;;;;;;;;;;;;;;;;
97;299;23;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
98;300;23;1;No citado;;;;;;;;;;;;;;;;;;;;
99;301;23;1;Titular;90;1;;;;;;;;;;;;;;;;;;
100;302;23;1;No citado;;;;;;;;;;;;;;;;;;;;
101;303;23;1;Titular;90;;;;;;;;;;;;;;;;;;;
102;304;23;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
103;305;23;1;Suplente ingresa;6;;;;;;;;;;;;;;;;;;;
104;307;23;1;Titular;;;;;;;;;;;;;;;;;;;;
105;308;23;1;No citado;;;;;;;;;;;;;;;;;;;;
106;309;23;1;No citado;;;;;;;;;;;;;;;;;;;;
107;274;23;1;No citado;;;;;;;;;;;;;;;;;;;;
108;310;23;1;Titular;90;;;;;;;;;;;;;;;;;;;
109;280;23;1;Titular;78;;1;;;;;;;;;;;;;;;;;
110;311;23;1;Suplente ingresa;;;;;;;;;;;;;;;;;;;;
111;312;23;1;Titular;90;;;;;;;;;;;;;;;;;;;
112;313;23;1;Titular;90;;;;;;;;;;;;;;;;;;;
113;314;23;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
114;315;23;1;Titular;90;;;;;;;;;;;;;;;;;;;
115;316;23;1;Titular;84;;;;;;;;;;;;;;;;;;;
116;273;23;1;No citado;;;;;;;;;;;;;;;;;;;;
117;317;23;1;No citado;;;;;;;;;;;;;;;;;;;;
118;318;23;1;Titular;90;;1;;;;;;;;;;;;;;;;;
119;278;23;1;Suplente ingresa;23;;;;;;;;;;;;;;;;;;;
120;279;23;1;No citado;;;;;;;;;;;;;;;;;;;;
121;277;23;1;Titular;67;;;;;;;;;;;;;;;;;;;
122;320;23;1;No citado;;;;;;;;;;;;;;;;;;;;
123;275;23;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
124;321;23;1;No citado;;;;;;;;;;;;;;;;;;;;
125;21;23;1;No citado;;;;;;;;;;;;;;;;;;;;
126;5;23;1;No citado;;;;;;;;;;;;;;;;;;;;
127;276;23;1;No citado;;;;;;;;;;;;;;;;;;;;
128;323;23;1;No citado;;;;;;;;;;;;;;;;;;;;
129;299;1;1;Titular;90;;;;;;;;;;;;;;;;;;;
130;300;1;1;No citado;;;;;;;;;;;;;;;;;;;;
131;301;1;1;No citado;;;;;;;;;;;;;;;;;;;;
132;302;1;1;Titular;90;;;;;;;;;;;;;;;;;;;
133;303;1;1;No citado;;;;;;;;;;;;;;;;;;;;
134;304;1;1;Suplente ingresa;6;;;;;;;;;;;;;;;;;;;
135;305;1;1;No citado;;;;;;;;;;;;;;;;;;;;
136;307;1;1;Titular;66;;1;;;;;;;;;;;;;;;;;
137;308;1;1;Suplente ingresa;30;;;;;;;;;;;;;;;;;;;
138;309;1;1;No citado;;;;;;;;;;;;;;;;;;;;
139;274;1;1;No citado;;;;;;;;;;;;;;;;;;;;
140;310;1;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
141;280;1;1;No citado;;;;;;;;;;;;;;;;;;;;
142;311;1;1;No citado;;;;;;;;;;;;;;;;;;;;
143;312;1;1;Titular;60;;;;;;;;;;;;;;;;;;;
144;313;1;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
145;314;1;1;Suplente ingresa;6;;;;;;;;;;;;;;;;;;;
146;315;1;1;Titular;84;;;;;;;;;;;;;;;;;;;
147;316;1;1;Titular;90;1;;;;;;;;;;;;;;;;;;
148;273;1;1;No citado;;;;;;;;;;;;;;;;;;;;
149;317;1;1;Titular;90;;1;;;;;;;;;;;;;;;;;
150;318;1;1;Titular;90;;1;;;;;;;;;;;;;;;;;
151;278;1;1;Titular;84;;1;;;;;;;;;;;;;;;;;
152;279;1;1;No citado;;;;;;;;;;;;;;;;;;;;
153;277;1;1;No citado;;;;;;;;;;;;;;;;;;;;
154;320;1;1;Suplente ingresa;24;;;;;;;;;;;;;;;;;;;
155;275;1;1;No citado;;;;;;;;;;;;;;;;;;;;
156;321;1;1;Suplente ingresa;30;;;;;;;;;;;;;;;;;;;
157;21;1;1;No citado;;;;;;;;;;;;;;;;;;;;
158;5;1;1;No citado;;;;;;;;;;;;;;;;;;;;
159;276;1;1;No citado;;;;;;;;;;;;;;;;;;;;
160;323;1;1;No citado;;;;;;;;;;;;;;;;;;;;
161;299;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
162;300;2;1;No citado;;;;;;;;;;;;;;;;;;;;
163;301;2;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
164;302;2;1;Titular;84;;;;;;;;;;;;;;;;;;;
165;303;2;1;Titular;90;;1;;;;;;;;;;;;;;;;;
166;304;2;1;Suplente ingresa;6;;;;;;;;;;;;;;;;;;;
167;305;2;1;No citado;;;;;;;;;;;;;;;;;;;;
168;307;2;1;Titular;65;;1;;;;;;;;;;;;;;;;;
169;308;2;1;Suplente ingresa;25;;;;;;;;;;;;;;;;;;;
170;309;2;1;No citado;;;;;;;;;;;;;;;;;;;;
171;274;2;1;No citado;;;;;;;;;;;;;;;;;;;;
172;310;2;1;Suplente no ingresa;;;;;;;;;;;;;;;;;;;;
173;280;2;1;No citado;;;;;;;;;;;;;;;;;;;;
174;311;2;1;No citado;;;;;;;;;;;;;;;;;;;;
175;312;2;1;Suplente ingresa;25;;1;;;;;;;;;;;;;;;;;
176;313;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
177;314;2;1;Suplente ingresa;6;;;;;;;;;;;;;;;;;;;
178;315;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
179;316;2;1;Titular;90;;;;;;;;;;;;;;;;;;;
