IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
40;2;4;27;1;11/03/2023;Temp. 2023 - APERTURA - Jornada: 4 - Cat. SUB-20 - OHiggins vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
41;2;5;1;25;18/03/2023;Temp. 2023 - APERTURA - Jornada: 5 - Cat. SUB-20 - Universidad de Chile vs Palestino;0;1;1;0;;;;;;;;;;;;;;
42;2;6;13;1;24/03/2023;Temp. 2023 - APERTURA - Jornada: 6 - Cat. SUB-20 - Universidad Católica vs Universidad de Chile;3;0;0;0;;;;;;;;;;;;;;
43;2;7;1;35;1/04/2023;Temp. 2023 - APERTURA - Jornada: 7 - Cat. SUB-20 - Universidad de Chile vs Universidad de Concepción;1;0;1;1;;;;;;;;;;;;;;
44;2;8;9;1;15/04/2023;Temp. 2023 - APERTURA - Jornada: 8 - Cat. SUB-20 - Unión Española vs Universidad de Chile;1;1;0;0;;;;;;;;;;;;;;
45;2;9;1;3;22/04/2023;Temp. 2023 - APERTURA - Jornada: 9 - Cat. SUB-20 - Universidad de Chile vs Colo-Colo;1;0;1;1;;;;;;;;;;;;;;
46;2;10;1;20;3/05/2023;Temp. 2023 - APERTURA - Jornada: 10 - Cat. SUB-20 - Universidad de Chile vs Deportes Temuco;3;3;1;0;;;;;;;;;;;;;;
47;2;11;4;1;5/05/2023;Temp. 2023 - APERTURA - Jornada: 11 - Cat. SUB-20 - Audax Italiano vs Universidad de Chile;2;2;0;0;;;;;;;;;;;;;;
48;2;12;2;1;12/05/2023;Temp. 2023 - APERTURA - Jornada: 12 - Cat. SUB-20 - Curicó Unido vs Universidad de Chile;0;1;0;1;;;;;;;;;;;;;;
49;2;13;1;14;19/05/2023;Temp. 2023 - APERTURA - Jornada: 13 - Cat. SUB-20 - Universidad de Chile vs Cobresal;1;1;1;0;;;;;;;;;;;;;;
50;2;14;6;1;26/05/2023;Temp. 2023 - APERTURA - Jornada: 14 - Cat. SUB-20 - Coquimbo Unido vs Universidad de Chile;1;3;0;1;;;;;;;;;;;;;;
51;2;15;18;1;3/06/2023;Temp. 2023 - APERTURA - Jornada: 15 - Cat. SUB-20 - Santiago Wanderers vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
52;2;CUARTOS DE FINAL;27;1;7/06/2023;Temp. 2023 - APERTURA - Jornada: CUARTOS DE FINAL - Cat. SUB-20 - O'Higgins vs Universidad de Chile;1;0;0;0;;;;;;;;;;;;;;
53;3;1;5;1;6/08/2023;Temp. 2023 - CLAUSURA - Jornada: 1 - Cat. SUB-20 - Everton vs Universidad de Chile;3;2;0;0;;;;;;;;;;;;;;
54;3;2;1;8;12/08/2023;Temp. 2023 - CLAUSURA - Jornada: 2 - Cat. SUB-20 - Universidad de Chile vs Huachipato;0;2;1;0;;;;;;;;;;;;;;
55;3;3;10;1;18/08/2023;Temp. 2023 - CLAUSURA - Jornada: 3 - Cat. SUB-20 - Magallanes vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
56;3;4;1;27;26/08/2023;Temp. 2023 - CLAUSURA - Jornada: 4 - Cat. SUB-20 - Universidad de Chile vs O'Higgins;2;0;1;1;;;;;;;;;;;;;;
57;3;5;25;1;1/09/2023;Temp. 2023 - CLAUSURA - Jornada: 5 - Cat. SUB-20 - Palestino vs Universidad de Chile;4;2;0;0;;;;;;;;;;;;;;
58;3;6;1;13;6/09/2023;Temp. 2023 - CLAUSURA - Jornada: 6 - Cat. SUB-20 - Universidad de Chile vs Universidad Catolica;4;4;1;0;;;;;;;;;;;;;;
59;3;7;35;1;13/09/2023;Temp. 2023 - CLAUSURA - Jornada: 7 - Cat. SUB-20 - Universidad de Concepción vs Universidad de Chile;2;3;0;1;;;;;;;;;;;;;;
60;3;8;1;9;24/09/2023;Temp. 2023 - CLAUSURA - Jornada: 8 - Cat. SUB-20 - Universidad de Chile vs Unión Española;2;1;1;1;;;;;;;;;;;;;;
61;3;9;3;1;1/10/2023;Temp. 2023 - CLAUSURA - Jornada: 9 - Cat. SUB-20 - Colo-Colo vs Universidad de Chile;4;0;0;0;;;;;;;;;;;;;;
62;3;10;20;1;8/10/2023;Temp. 2023 - CLAUSURA - Jornada: 10 - Cat. SUB-20 - Deportes Temuco vs Universidad de Chile;0;1;0;1;;;;;;;;;;;;;;
